id,NO DE OBRA PICASO / OFICIO DE APROBACIÓN / NÚMERO DE CONTRATO,SIGLAS DEPENDENCIA O ENTIDAD EJECUTORA,TIPO,NOMBRE DEL PROGRAMA PRESUPUESTARIO,NOMBRE DE LA OBRA/ACCIÓN/PROYECTO,FF FEDERAL,FUENTE FEDERAL,IMPORTE (Aprobado),FF ESTATAL,FUENTE ESTATAL,IMPORTE,FF RECURSOS PROPIOS,RECURSOS PROPIOS,IMPORTE,FF MUNICIPAL,FUENTE MUNICIPAL,IMPORTE,IMPORTE CONTRATADO,IMPORTE  EJERCIDO,LOCALIDAD DE LA OBRA,MUNICIPIO DE LA OBRA,"FECHA 
INICIO","FECHA
FIN",fecha_c,fecha_u_m
11,2018-00829,IIFEQ,OBRA,,CONSTRUCCIÓN DE AULA DIDÁCTICA JARDIN DE NIÑOS ESPERANZA,77N,FIES 2018," $750,000.00 ",,,,,,,,,," $737,180.37 "," $602,200.70 ",BRAVO,CORREGIDORA,24/08/2018,06/11/2018,08/06/2019,
12,2018-00833,IIFEQ,OBRA,,CONSTRUCCIÓN DE AULA DIDÁCTICA PRIMARIA 16 DE SEPTIEMBRE,77N,FIES 2018," $737,180.86 ",,,,,,,,,," $737,180.86 "," $568,725.74 ",BRAVO,CORREGIDORA,24/08/2018,06/11/2018,08/06/2019,
13,2018-00832,IIFEQ,OBRA,,CONSTRUCCIÓN DE AULA DIDÁCTICA PRIMARIA SALVADOR HERRERA,77N,FIES 2018," $750,000.00 ",,,,,,,,,," $740,162.60 "," $645,717.46 ",SANTA CATARINA,QUERÉTARO,24/08/2018,06/11/2018,08/06/2019,
14,2018-00934,IIFEQ,OBRA,,REHABILITACIÓN INTEGRAL PRIMARIA BENITO JUAREZ,77N,FIES 2018," $2,000,000.00 ",,,,,,,,,," $1,996,572.67 "," $1,996,558.15 ",EL PERAL,HUIMILPAN,02/10/2018,30/11/2018,08/06/2019,
15,2018-00928,IIFEQ,OBRA,,CONSTRUCCIÓN DE AULA DIDÁCTICA SECUNDARIA JOSÉ CLEMENTE OROZCO,77N,FIES 2018," $750,000.00 ",,,,,,,,,," $1,270,608.02 "," $1,175,983.82 ",LOS OLVERA,CORREGIDORA,02/10/2018,07/12/2018,08/06/2019,
16,2018-00905,IIFEQ,OBRA,,CONSTRUCCIÓN DE TECHUMBRE EN PLAZA CÍVICA,77N,FIES 2018," $1,450,000.00 ",,,,,,,,,," $1,434,305.28 "," $1,423,912.27 ",BUCARELI,PINAL DE AMOLES,01/10/2018,29/11/2018,08/06/2019,
17,2018-00807,IIFEQ,OBRA,,CONSTRUCCIÓN DE AULA DIDÁCTICA PRIMARIA BENEMERITO DE LAS AMÉRICAS,77N,FIES 2018," $747,003.33 ",,,,,,,,,," $747,003.33 "," $747,003.33 ",EL RODEO,SAN JUAN DEL RÍO,21/08/2018,03/11/2018,08/06/2019,
18,2018-00808,IIFEQ,OBRA,,CONSTRUCCIÓN DE AULA DIDÁCTICA TELESECUNDARIA LAZARO CÁRDENAS,77N,FIES 2018," $747,003.65 ",,,,,,,,,," $747,003.33 "," $747,003.65 ",EL RODEO,SAN JUAN DEL RÍO,21/08/2018,03/11/2018,08/06/2019,
19,2018-01121,IIFEQ,OBRA,,CONSTRUCCIÓN DE DOS AULAS DIDÁCTICAS EN LA TELESECUNDARIA RAFAEL AYALA ECHAVERRI,,,,92P,ISN 2018-2," $1,649,999.99 ",,,,,,," $1,623,514.57 "," $826,742.10 ",SANTA CRUZ NIETO,SAN JUAN DEL RÍO,14/01/2019,24/03/2019,08/06/2019,
20,2018-01131,IIFEQ,OBRA,,CONSTRUCCIÓN DE BARDA PERIMETRAL,,,,92P,ISN 2018-2," $1,650,000.01 ",,,,,,," $1,639,872.79 "," $1,107,577.98 ",SAN JOSÉ ITHO,AMEALCO,21/01/2019,31/03/2019,08/06/2019,
21,2018-01129,IIFEQ,OBRA,,REHABILITACIÓN INTEGRAL PRIMARIA EMILIANO ZAPATA,,,,92P,ISN 2018-2," $2,199,999.98 ",,,,,,," $2,199,999.98 "," $1,382,213.07 ",EL ZORRILLO,HUIMILPAN,21/01/2019,10/04/2019,08/06/2019,
22,2018-01119,IIFEQ,OBRA,,REHABILITACIÓN INTEGRAL PRIMARIA ESTEFANÍA CASTAÑEDA,,,,92P,ISN 2018-2," $3,079,999.97 ",,,,,,," $3,079,999.97 "," $1,875,650.92 ",SAN ANTONIO LA GALERA,HUIMILPAN,14/01/2019,23/04/2019,08/06/2019,
23,2018-01123,IIFEQ,OBRA,,BARDA Y REHABILITACIÓN PRIMARIA BENITO JUAREZ,,,,92P,ISN 2018-2," $2,749,999.99 ",,,,,,," $2,749,999.99 "," $1,947,904.06 ",EL GRANGENO,HUIMILPAN,14/01/2019,23/04/2019,08/06/2019,
24,2018-01120,IIFEQ,OBRA,,TECHUMBRE Y MÓDULO DE SERVICIOS PRIMARIA VALENTÍN GOMEZ FARÍAS,,,,92P,ISN 2018-2," $2,749,998.08 ",,,,,,," $2,749,998.08 "," $1,052,360.06 ",LA PEÑA,HUIMILPAN,14/01/2019,23/04/2019,08/06/2019,
25,2018-01124,IIFEQ,OBRA,,TECHUMBRE Y ANDADORES PRIMARIA ADOLFO LÓPEZ ;ATEOS,,,,92P,ISN 2018-2," $2,154,091.44 ",,,,,,," $2,154,091.44 "," $967,986.90 ",LOS BORDOS,HUIMILPAN,14/01/2019,24/03/2019,08/06/2019,
26,2018-01132,IIFEQ,OBRA,,CONSTRUCCION DE AULA DE MEDIOS PRIMARIA FRAY JUAN DE ZUMÁRRAGA,,,,92P,ISN 2018-2," $2,749,999.99 ",,,,,,," $2,749,999.99 "," $797,025.25 ",SANTA CRUZ,EL MARQUÉS,21/01/2019,30/04/2019,08/06/2019,
27,2018-01122,IIFEQ,OBRA,,CONSTRUCCIÓN DE AULA Y BAÑOS PRIMARIA JESUS ROMERO FLORES,,,,92P,ISN 2018-2," $2,657,208.08 ",,,,,,," $2,657,208.08 "," $1,901,069.21 ",SANTA BÁRBARA,CORREGIDORA,14/01/2019,13/04/2019,08/06/2019,
28,2018-01126,IIFEQ,OBRA,,CONSTRUCCIÓN DE DOS AULAS DIDÁCTICAS PRIMARIA LUIS VEGA Y MONROY,,,,92P,ISN 2018-2," $1,649,999.97 ",,,,,,," $1,649,999.97 "," $743,598.21 ",VISTAS DEL CIMATARIO,QUERÉTARO,14/01/2019,03/04/2019,08/06/2019,
29,2018-01127,IIFEQ,OBRA,,CONSTRUCCIÓN DE ANEXO DE BAÑOS  JARDÍN DE NIÑOS AATZIN,,,,92P,ISN 2018-2," $1,270,995.27 ",,,,,,," $1,270,995.27 "," $1,045,613.79 ",LA GRIEGA,EL MARQUÉS,14/01/2019,03/04/2019,08/06/2019,
30,2018-00133,P.M. S.J.R.,OBRA,HOMBRO CON HOMBRO INFRAESTRUCTURA,"REHABILITACIÓN DE PAVIMENTO EN AVENIDA DE LOS PATOS, INDECO, SAN JUAN DEL RÍO, QRO.",,,,F18,GEQ PA 2018,"$2,842,124.78",,,,,,,"$2,801,423.14","$2,801,423.14",INDECO,SAN JUAN DEL RÍO,26/03/2018,24/05/2018,08/06/2019,
31,2018-00098,P.M. S.J.R.,OBRA,HOMBRO CON HOMBRO INFRAESTRUCTURA,"PAVIMENTACIÓN EN CALLE HACIENDA SANTA ROSA, VALLE DORADO, SAN JUAN DEL RÍO, QRO.",,,,F18,GEQ PA 2018," $2,000,000.00 ",,,,,,," $1,969,837.45 ","1,969,837.44",VALLE DORADO ,SAN JUAN DEL RÍO,26/03/2018,23/06/2018,08/06/2019,
32,2018-00112,P.M. S.J.R.,OBRA,HOMBRO CON HOMBRO INFRAESTRUCTURA,"CONSTRUCCIÓN DE EMPEDRADO CON MORTERO EN CALLES ZARAGOZA Y CONSTITUYENTES, EL ORGANAL, SAN JUAN DEL RÍO, QRO.",,,,F18,GEQ PA 2018,"$1,555,000.00",,,,,,," $1,534,997.80 "," $1,534,997.78 ",EL ORGANAL,SAN JUAN DEL RÍO,26/03/2018,23/06/2018,08/06/2019,
33,2018-00097,P.M. S.J.R.,OBRA,HOMBRO CON HOMBRO INFRAESTRUCTURA,"REHABILITACIÓN DE PAVIMENTO EN CALLES GIRASOL, GARDENIA Y AZUCENA, LOMA LINDA, SAN JUAN DEL RÍO, QRO.",,,,F18,GEQ PA 2018,"$2,000,000.00",,,,,,," $1,969,875.32 ","1,969,875.30",LOMA LINDA,SAN JUAN DEL RÍO,26/03/2018,23/06/2018,08/06/2019,
34,2017-00915,CEIQ,OBRA,HOMBRO CON HOMBRO INFRAESTRUCTURA,MEJORAMIENTO DE ACCESO PRINCIPALEN LA LIRA ,,,,F01,GEQ PA 2017,"$3,096,362.39",,,,,,," $3,035,368.34 ","3,035,368.34",LA LIRA,PEDRO ESCOBEDO,08/12/2017,28/02/2018,08/06/2019,
35,2017-01053,CEIQ,OBRA,HOMBRO CON HOMBRO INFRAESTRUCTURA,REVESTIMIENTO CANAL PLUVIAL Y COLECTOR SANITARIO,,,,F01,GEQ PA 2017,"$1,875,858.02",,,,,,," $1,790,667.11 ","1,752,995.87",SAN FANDILA,PEDRO ESCOBEDO,28/12/2017,28/02/2018,08/06/2019,
36,2017-00917,CEIQ,OBRA,HOMBRO CON HOMBRO INFRAESTRUCTURA,"MODERNIZACIÓN DE CALLE JOSÉ MARÍA LUIS MORA (PAVIMENTACIÓN, GUARNICIONES Y BANQUETAS, COLECTOR Y DESCARGAS SANITARIAS, RED DE AGUA POTABLE) EN EL SAUZ, PEDRO ESCOBEDO, QRO.",,,,21E,ISN EMPRESA,"$3,102,878.94",,,,,,," $3,055,417.91 ","2,811,065.82",EL SAUZ,PEDRO ESCOBEDO,22/01/2018,22/03/2018,08/06/2019,
37,2018-00095,P.M. S.J.R.,OBRA,HOMBRO CON HOMBRO INFRAESTRUCTURA,"REHABILITACIÓN DE PAVIMENTO EN CALLES DEL BOSQUE, DEL ABEDUL Y QUINTAS DE GUADALUPE, SAN JUAN DEL RÍO, QRO.",,,,F18,GEQ PA 2018,"$3,025,368.00",,,,,,," $2,969,059.88 ","2,969,059.88",QUINTAS DE GUADALUPE,SAN JUAN DEL RÍO,02/04/2018,31/05/2018,08/06/2019,
38,2018-00103,P.M. S.J.R.,OBRA,HOMBRO CON HOMBRO INFRAESTRUCTURA,"REHABILITACIÓN DE PAVIMENTO EN CALLE ORQUIDEA, LOMA LINDA, SAN JUAN DEL RÍO, QRO.",,,,F18,GEQ PA 2018,"$1,313,654.00",,,,,,," $1,294,834.84 ","1,294,834.83",LOMA LINDA,SAN JUAN DEL RÍO,02/04/2018,31/05/2018,08/06/2019,
39,2018-00101,P.M. S.J.R.,OBRA,HOMBRO CON HOMBRO INFRAESTRUCTURA,"REHABILITACIÓN DE PAVIMENTO EN CALLES LAJA Y JADE, EL PEDREGOSO, SAN JUAN DEL RÍO, QRO.",,,,F18,GEQ PA 2018,"$1,371,000.00",,,,,,," $1,368,446.49 ","1,368,446.49",EL PEDREGOSO,SAN JUAN DEL RÍO,02/04/2018,30/06/2018,08/06/2019,
40,2018-00105,P.M. S.J.R.,OBRA,HOMBRO CON HOMBRO INFRAESTRUCTURA,"REHABILITACIÓN DE CALLE EZEQUIEL MONTES, GRANJAS BANTHI, SAN JUAN DEL RIO, QRO.",,,,F18,GEQ PA 2018,"$3,800,000.00",,,,,,," $3,728,483.48 ","3,728,483.46",GRANJAS BANTHI,SAN JUAN DEL RÍO,02/04/2018,30/06/2018,08/06/2019,
41,2017-01096,SDUOP,OBRA,HOMBRO CON HOMBRO INFRAESTRUCTURA,CONSTRUCCION DE SUBCOMANDACIA NORORIENTE,,,,F01,GEQ PA 2017,"$27,204,787.29",,,,,,," $26,887,051.97 ","21,098,972.78",MECHACA II,QUERÉTARO,28/12/2017,26/04/2018,08/06/2019,
42,2017-01117,SDUOP,OBRA,HOMBRO CON HOMBRO INFRAESTRUCTURA,"MEJORAMIENTO A BASE DE CONSTRUCCIÓN DE GUARNICIONES, BANQUETAS Y EMPEDRADO AHOGADO EN MORTERO EN COL.COLINAS DEL PEDREGAL, C/ CDESA DE TOULOUSE-LAUTREC Y C/ COLINAS DE: SIBERIA,UCRANIA, INGLATERRA,DINAMARCA,RUMANIA,ESLOVENIA,REP.CHECA,HUNGRÍA,FINLANDIA,POLONIA, ESCOCIA, IRLANDA, PORTUGAL, ESPAÑA, ITALIA, FRANCIA Y HOLANDA; COL.BALC. D SN PABLO C/ BALCONES, HORTENSIAS, BALCONES II Y GLADIOLAS Y COL.LATINOAM. C/ VIOLETAS, JAZMÍN, CARACAS, TÉCNICOS, BALC. D SN PEDRO, BALC. D SN JUAN, CARTAGENA Y OCTAVIO PAZ. ALCANTARILLADO SANIT. Y RED DE A.POTAB. 2ªETP. EN COL. BALC. D SN PABLO, MISMAS CALLES ",,,,F01,GEQ PA 2017," $34,517,920.38 ",,,,,,," $33,991,911.48 "," $33,991,911.48 ","COL. COLINAS DEL PEDREGAL, COL. BALCONES DE SAN PABLO, COL. LATINOAMERICA Y BALCONES II",QUERÉTARO,18/01/2018,17/07/2018,08/06/2019,
43,2017-01092,SDUOP,OBRA,HOMBRO CON HOMBRO INFRAESTRUCTURA,"MEJORAMIENTO URBANO COSNSITENTE EN LA COSNTRUCCION DE GUARNICIONES, BANQUETAS Y EMPEDRADO AHOGADO EN MORTERO Y CONSTRUCCION DE RED DE DISTRIBUCION DE AGUA POTABLE EN LA CALLE JARDINES DE LA HACIENDA Y TRES TRAMOS DE CALLES SIN NOMBRE EN LA COLONIA MARAVILLAS

MEJORAMIENTO DE GUARNICIONES, BANQUETAS Y EMPEDRADO AHOGADO EN MORTERO EN EL CAMINO QUE CONECTA A LA COL BOSQUES DE ITURBIDE",,,,F01,GEQ PA 2017," $3,846,727.93 ",,,,,,," $3,790,067.61 "," $3,682,347.50 ",COL. LAS MARAVILLAS,QUERÉTARO,28/12/2017,26/04/2018,08/06/2019,
44,2017-01111,SDUOP,OBRA,HOMBRO CON HOMBRO INFRAESTRUCTURA,"MEJORAMIENTO DE GUARNICIONES, BANQUETAS Y EMPEDRADO AHOGADO EN MORTERO EN LA CALLE OAXACA",,,,F01,GEQ PA 2017," $2,640,407.88 ",,,,,,," $2,615,544.60 "," $2,326,528.33 ",COL. COLINAS DE SAN PABLO,QUERÉTARO,05/01/2018,04/04/2018,08/06/2019,
45,CEI/DA/00087/2018,CEIQ,OBRA,HOMBRO CON HOMBRO INFRAESTRUCTURA,MEJORAMIENTO DE CALLES 5 Y 4 EN LA COL LOS ARROYITOS,,F01 PARTICIPACIONES DE LIBRE DISPOSICIÓN,,,,,,,,,,," $1,393,947.45 ",,COL. LOS ARROYITOS,QUERÉTARO,19/02/2018,04/04/2018,08/06/2019,
46,2018-00184,CEIQ,OBRA,HOMBRO CON HOMBRO INFRAESTRUCTURA,"RED DE DRENAJE SANITARIO EN CALLE PLUTARCO ELÍAS CALLES Y GENERAL LÁZARO CÁRDENAS Y CONSTRUCCIÓN DE MURO DE CONTENCIÓN CON PASO PEATONAL EN EL DREN PLUVIAL DE LA CALLE GENERAL LÁZARO CARDENAS, COLONIA LÁZARO CARDENAS, MUNICIPIO DE QUERÉTARO, QRO.",,,,43E,ISN 2018," $3,126,533.10 ",,,,,,," $3,056,938.61 "," $2,908,171.91 ",COL. LÁZARO CARDENAS,QUERÉTARO,16/04/2018,13/08/2018,08/06/2019,
47,CEI/DA/00110/2018,CEIQ,OBRA,HOMBRO CON HOMBRO INFRAESTRUCTURA,"MEJORAMIENTO E INFRAESTRUCTURA EN CALLES 41, AC 18 Y CALLE RAFAEL DE LA MORA ",,F01 PARTICIPACIONES DE LIBRE DISPOSICIÓN,,,,,,,,,,," $4,904,007.66 ",,LOMAS DE CASA BLANCA,QUERÉTARO,07/03/2018,15/05/2018,08/06/2019,
48,CEI/DA/00111/2018,CEIQ,OBRA,HOMBRO CON HOMBRO INFRAESTRUCTURA,"MEJORAMIENTO DE RÍO YAQUI, PRIVADA RIO YAQUI, RIO MAYO, RIO GUAYMAS, RIO ACTOPAN Y RIO SUCHIATE ",,F01 PARTICIPACIONES DE LIBRE DISPOSICIÓN,,,,,,,,,,," $4,944,457.68 ",,MECHACA II,QUERÉTARO,07/03/2018,15/05/2018,08/06/2019,
49,2017-01093,SDUOP,OBRA,HOMBRO CON HOMBRO INFRAESTRUCTURA,"MODERNIZACION DE CAMINO DE ACCESO A LA LOCALIDAD DE CAMARGO, PEÑAMILLER",,FIES 2017," $12,072,991.00 ",,,,,,,,,," $11,570,642.80 "," $7,164,565.22 ",CAMARGO,PEÑAMILLER,02/01/2018,15/02/2018,08/06/2019,
50,2017-00906,P.M. CADEREYTA,OBRA,HOMBRO CON HOMBRO INFRAESTRUCTURA,URBANIZACION DE CALLE ZARAGOZA NORTE CADEREYTA,,,,F01,GEQ PA 2017," $1,600,000.00 ",,,,,,," $1,595,582.63 "," $1,595,581.03 ",CABECERA CADEREYTA,CADEREYTA,24/11/2017,20/03/2018,08/06/2019,
51,2017-00914,P.M. CADEREYTA,OBRA,HOMBRO CON HOMBRO INFRAESTRUCTURA,AMPLIACION DE RED DE DRENAJE SANITARIO EN MESA DE LEÓN CADEREYTA,,,,F01,GEQ PA 2017," $1,500,000.00 ",,,,,,," $1,494,812.09 "," $1,493,912.05 ",MESA DE LEÓN,CADEREYTA,13/11/2017,20/03/2018,08/06/2019,
52,2017-00913,P.M. CADEREYTA,OBRA,HOMBRO CON HOMBRO INFRAESTRUCTURA,"CONSTRUCCIÓN DE CANCHA DE USOS MÚLTIPLES, SANTA BARBARA CADEREYTA",,,,F01,GEQ PA 2017," $1,400,000.00 ",,,,,,," $1,397,680.00 "," $1,397,398.17 ",SANTA BÁRBARA,CADEREYTA,29/11/2017,20/03/2018,08/06/2019,
53,2017-00890,P.M. CADEREYTA,OBRA,HOMBRO CON HOMBRO INFRAESTRUCTURA,AMPLIACION DE RED DE ENERGIA ELECTRICA EN VILLA NUEVA CADEREYTA,,,,F01,GEQ PA 2017," $1,000,000.00 ",,,,,,," $993,911.58 "," $993,883.88 ",VILLA NUEVA ,CADEREYTA,29/11/2017,20/03/2018,08/06/2019,
54,2017-00908,P.M. CADEREYTA,OBRA,HOMBRO CON HOMBRO INFRAESTRUCTURA,PAVIMENTACIÓN DE ESTACIONAMIENTO DE LA UAQ CAMPUS CADEREYTA,,,,F01,GEQ PA 2017," $2,000,000.00 ",,,,,,," $1,987,532.67 "," $1,987,532.52 ",CABECERA CADEREYTA,CADEREYTA,30/11/2017,20/03/2018,08/06/2019,
55,2017-00907,P.M. CADEREYTA,OBRA,HOMBRO CON HOMBRO INFRAESTRUCTURA,"BACHEO, RIEGO DE SELLO Y ALUMBRADO PUBLICO EN CALLES HIDALGO Y ARROYO GRANDE EN CABECERA MUNICIPAL, CADEREYTA",,,,F01,GEQ PA 2017," $2,500,000.00 ",,,,,,," $2,486,586.13 "," $2,486,575.40 ",CABECERA CADEREYTA,CADEREYTA,24/11/2017,20/03/2018,08/06/2019,
56,CEI/DA/117/2018,CEIQ,OBRA,HOMBRO CON HOMBRO INFRAESTRUCTURA,"MEJORAMIENTO DE CALLE ORQUIDEAS, AV. DE LAS ROSAS, AV. BUGAMBILIAS Y PASEO DE LAS ROSAS",,F01 PARTICIPACIONES DE LIBRE DISPOSICIÓN,,,,,,,,,,," $17,681,032.13 ",,COL. PRADOS DEL RINCÓN,QUERÉTARO,09/04/2018,08/08/2018,08/06/2019,
57,2017-01112,SDUOP,OBRA,HOMBRO CON HOMBRO INFRAESTRUCTURA,"MEJORAMIENTO DE GUARNICIONES, BANQUETAS Y EMPEDRADO AHOGADO EN MORTERO EN LA COL. 5 HALCONES CALLES DE NOGAL, JACARANDAS (SEGUNDA ETAPA) Y PINO COL. GENERACION 2000 EN LAS CALLES DE ROSALES (SEGUNDA ETAPA. CALLES 1,2,3,4,5,6,7 Y EN EL MUNICIPIO DE QUERETARO, QRO.",,,,F01,GEQ PA 2017," $16,065,201.33 ",,,,,,," $15,759,495.83 "," $15,754,160.95 ",COL. GENERACIÓN 2000 Y 5 HALCONES,QUERÉTARO,05/01/2018,04/04/2018,08/06/2019,
58,CEI/DA/00086/2018,CEIQ,OBRA,HOMBRO CON HOMBRO INFRAESTRUCTURA,MEJORAMIENTO DE CALLES EN COLONIA CAMELINAS,,F01 PARTICIPACIONES DE LIBRE DISPOSICIÓN,,,,,,,,,,," $3,280,714.36 ",,COL. CAMELINAS,QUERÉTARO,19/02/2018,18/06/2018,08/06/2019,
59,2018-00172,CEIQ,OBRA,HOMBRO CON HOMBRO INFRAESTRUCTURA,"MEJORAMIENTO DE CALLE ÁLAMO, PINO, ROBLE Y JACARANDA, COLONIA RANCHO QUEMADO, MUNICIPIO DE QUERÉTARO, QRO.",,,,F18,GEQ PA 2018," $6,173,841.98 ",,,,,,," $6,046,806.46 "," $6,046,253.41 ",RANCHO QUEMADO,QUERÉTARO,23/04/2018,21/07/2018,08/06/2019,
60,2018-00164,CEIQ,OBRA,HOMBRO CON HOMBRO INFRAESTRUCTURA,"MEJORAMIENTO DE AV. DEL FERROCARRIL, MEDIANTE LA COLOCACIÓN DE MALLA CICLONICA, COLONIA EL CERRITO Y BARRIO LA TRINIDAD, MUNICIPIO DE QUERÉTARO, QRO.",,,,F18,GEQ PA 2018," $849,718.90 ",,,,,,," $827,373.74 "," $826,430.84 ",COL EL CERRITO Y LA TRINIDAD,QUERÉTARO,04/06/2018,10/10/2018,08/06/2019,
61,2018-00150,CEIQ,OBRA,HOMBRO CON HOMBRO INFRAESTRUCTURA,"MEJORAMIENTO DE CALLE RIVAPALACIO, JUAN ÁLVAREZ, PLAN DE AYALA, METRALLA Y FRANCISCO SARABIA, EN LA COLONIA LINDA VISTA,  MUNICIPIO DE QUERÉTARO, QRO.",,,,F18,GEQ PA 2018," $6,964,183.46 ",,,,,,," $6,691,200.89 "," $4,822,782.19 ",COL. LINDAVISTA,QUERÉTARO,09/05/2018,05/09/2018,08/06/2019,
62,2018-00170,CEIQ,OBRA,HOMBRO CON HOMBRO INFRAESTRUCTURA,"MEJORAMIENTO DE CALLE Y MURO DE CONTENCIÓN EN CALLE PROLONGACIÓN JALISCO Y ACCESO A LA COLONIA JARDINES DE SAN JOSÉ CUARTA SECCIÓN, MUNICIPIO DE QUERÉTARO, QRO",,,,F18,GEQ PA 2018," $2,178,499.53 ",,,,,,," $2,092,851.72 "," $1,780,018.25 ",JARDINES DE SAN JOSÉ,QUERÉTARO,27/04/2018,25/07/2018,08/06/2019,
63,CEI/DA/00089/2018,CEIQ,OBRA,HOMBRO CON HOMBRO INFRAESTRUCTURA,MEJORAMIENTO DE CALLES BATALLA DE CHINAMECA Y JOJUTLA,,F01 PARTICIPACIONES DE LIBRE DISPOSICIÓN,,,,,,,,,,," $3,379,331.01 ",,ZAPATA VIVE,QUERÉTARO,19/02/2018,14/04/2018,08/06/2019,
64,2018-00163,CEIQ,OBRA,HOMBRO CON HOMBRO INFRAESTRUCTURA,"MEJORAMIENTO DE VARIAS CALLES DE LA COLONIA MENCHACA III, MUNICIPIO DE QUERÉTARO, QRO",,,,F18,GEQ PA 2018," $8,658,278.79 ",,,,,,," $8,555,007.13 "," $8,554,254.58 ",MENCHACA III,QUERÉTARO,09/05/2018,05/10/2018,08/06/2019,
65,2018-00192,CEIQ,OBRA,HOMBRO CON HOMBRO INFRAESTRUCTURA,"RED DE DRENAJE SANITARIO Y MEJORAMIENTO DE CALLE 1RA PRIV. EMILIANO ZAPATA, COL. STA. MARÍA MAGDALENA, MUNICIPIO DE QUERÉTARO, QRO.",,,,43E,ISN 2018," $734,323.03 ",,,,,,," $719,094.39 "," $387,954.45 ",SANTA MARÍA MAGDALENA,QUERÉTARO,23/04/2018,21/06/2018,08/06/2019,
