id_obra,subobra_id,num_obra,nombre_obra,mmunicipio,localidad,tipo_proyecto,ejecutora,normativa,clasificador_plan_estatal,cantidad_metas,unidad_metas,contratista,inicio_obra,termino_obra,status_obra,avance,monto_aprobado,fondo,ff_federal,importe_federal,aportacion_federal,ff_estatal,importe_esatal,aportacion_estatal,ff_municipal,importe_municipal,aportacion_municipal,ff_otros,imprte_otros,aportacion_otros,ff_recursos_propios,importe_recursos_propios,aportacion_recursos_propios,monto_contratado,monto_ejercido,status,solicitud_baja,baja_justificacion,baja_respuesta
11,,2019-00010,"CONSTRUCCIÓN DE RETORNO Y PARADORES DE TRASPORTE PÚBLICO EN C.E. 131, DEL KM 0+780 AL 4+000, MUNICIPIO DE EZEQUIEL MONTES, QRO",EZEQUIEL MONTES,EZEQUIEL MONTES,,CEIQ,CEIQ,INFRAESTRUCTURA,1874.78,M2(PAVIMENTO ASFALTICO),GONZALEZ MARTELL ABRAHAM,18/02/2019,19/03/2019,TERMINADO,100,3244252.97,ISN 2019,,0,0,08Q,3244252.97,100,,0,0,,0,0,,,,3365210.48,3244252.97,,,,
12,,2019-00011,"REHABILITACION DE PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES, EN LA LOCALIDAD DE SAN ANTONIO DE CAL",TOLIMAN,SAN ANTONIO DE LA CAL,,P.M. TOLIMAN,P.M. TOLIMAN,INFRAESTRUCTURA,1,PLANTA  DE TRATAMIENTO,RAMIREZ PLAZA LILIANA TERESITA,13/02/2019,13/04/2019,TERMINADO,100,997534.06,FAFEF 2019,07Q,997534.06,100,,0,0,,0,0,,0,0,,,,997534.06,997534.03,,,,
13,,2019-00012,"REHABILITACION DE BOULEVARD BICENTENARIO HORNO DE CAL - TOLIMAN, MUNICIPIO DE TOLIMAN, QRO.",TOLIMAN,TOLIMAN,,P.M. TOLIMAN,P.M. TOLIMAN,INFRAESTRUCTURA,6992.5,METROS CUADRADOS,GUDIÑO RODRIGUEZ HUGO,13/02/2019,13/05/2019,TERMINADO,100,3472380.35,FAFEF 2019,07Q,3472380.35,100,,0,0,,0,0,,0,0,,,,3472380.35,3472379.62,,,,
14,,2019-00013,"CONSTRUCCION DE EMPEDRADO AHOGADO CON MORTERO CEMENTO, ARENA EN CALLE QUE CONDUCE A LA CLINICA DEL CENTRO DE SALUD DE LA COMUNIDAD DE MAGUEY MANSO, TOLIMAN QRO.",TOLIMAN,MAGUEY MANSO,,P.M. TOLIMAN,P.M. TOLIMAN,INFRAESTRUCTURA,872.4,METROS CUADRADOS,CAMOMO S.A. DE C.V.,13/02/2019,13/04/2019,TERMINADO,100,1141194.92,FAFEF 2019,07Q,1141194.92,100,,0,0,,0,0,,0,0,,,,1141194.92,1141194.83,,,,
15,,2019-00014,"CONSTRUCCION DE PAVIMENTO DE EMPEDRADO AHOGADO CON MORTERO  EN CALLE EZEQUIEL MONTES (PARADA DEL GARAMBULLO), BO. LA VILLITA, SAN PABLO, TOLIMAN, QRO.",TOLIMAN,"VILLITA DE SAN PABLO, LA",,P.M. TOLIMAN,P.M. TOLIMAN,INFRAESTRUCTURA,3348.63,METROS CUADRADOS,OBREGON ALVAREZ JORGE,13/02/2019,13/05/2019,TERMINADO,100,3292643.93,FAFEF 2019,07Q,3292643.93,100,,0,0,,0,0,,0,0,,,,3292643.93,3292643.92,,,,
16,,2019-00015,"TRABAJOS DE JARDINER�?A EN DISTRIBUIDOR TRONCAL DE LA C.F. 57 Y LA C.E. 100, MUNICIPIO DE EL MARQUÉS, QRO",EL MARQUES,"MARQUES, EL",,CEIQ,CEIQ,INFRAESTRUCTURA,15917.57,METROS CUADRADOS,CONTINENTAL GRASS PRODUCER S. DE R.L. DE C.V.,27/02/2019,28/03/2019,TERMINADO,100,3101481.36,ISN 2019,,0,0,08Q,3101481.36,100,,0,0,,0,0,,,,3101484.07,3101481.36,,,,
17,,2019-00016,"REHABILITACIÓN DE ALUMBRADO EXISTENTE EN DISTRIBUIDOR VEHICULAR C.F. 57 Y C.E. 100, MUNICIPIO DEL MARQUES, QRO.",EL MARQUES,"PARAISO, EL",,CEIQ,CEIQ,INFRAESTRUCTURA,1,PIEZAS,DIAZ MANZO ANTONIO,15/02/2019,16/03/2019,TERMINADO,100,764370.81,ISN 2019,,0,0,08Q,764370.81,100,,0,0,,0,0,,,,764370.81,764370.81,,,,
18,,2019-00017,"CONSTRUCCIÓN DE OBRAS PARA CONECTIVIDAD INTERNA EN GASAS DEL DISTRIBUIDOR VEHICULAR C.F. 57 Y C.E. 100, MUNICIPIO DE EL MARQUÉS, QRO",EL MARQUES,"PARAISO, EL",,CEIQ,CEIQ,INFRAESTRUCTURA,3475.59,M2(PAVIMENTO ASFALTICO),CONSTRUCCIONES ACERO S.A. DE C.V.,25/02/2019,25/05/2019,TERMINADO,100,6730605.21,ISN 2019,,0,0,08Q,6730605.21,100,,0,0,,0,0,,,,6731946.81,6730605.21,,,,
19,,2019-00018,HOMBRO CON HOMBRO POR TU ECONOM�?A FAMILIAR EN SU VERTIENTE TRANSPORTE PÚBLICO (MATERIALES SUMINISTROS Y EQUIPO),ALCANCE REGIONAL,ALCANCE REGIONAL,,SEDESOQ,SEDESOQ,TRANSPORTE PUBLICO,1,SERVICIOS,,,,SUSPENDIDO,65,2277721.48,ISN 2019,,0,0,08Q,2277721.48,100,,0,0,,0,0,,,,0,677721.88,,,,
20,,2019-00019,"ESTUDIO PARA EL INFORME PREVENTIVO DE IMPACTO AMBIENTAL ANTE LA SECRETAR�?A DE DESARROLLO SUSTENTABLE (SEDESU) PARA LA OBRA:  EJE ZARAGOZA, MUNICIPIO DE QUERÉTARO, QRO.",QUERETARO,SANTIAGO DE QUERETARO,,SDUOP,SDUOP,TRANSPORTE PUBLICO,1,ESTUDIOS,ORTIZ VIDAL CHRISTOPHER MAGLOIRE,11/03/2019,09/04/2019,TERMINADO,100,104400,GEQ PA 2019,,0,0,F19,104400,100,,0,0,,0,0,,,,104400,104400,,,,
21,,2019-00020,TRANSFERENCIA DE RECURSOS FAM ASISTENCIA SOCIAL 2019 AL EJECUTOR,ALCANCE ESTATAL,ALCANCE ESTATAL,,DIF,DIF,GRUPOS VULNERABLES,1,TRANSFERENCIA,,,,APROBADO,57,171211448,FAM SOCIAL 2019,98P,171211448,100,,0,0,,0,0,,0,0,,,,0,114140968,,,,
22,,2019-00021,HOMBRO CON HOMBRO TRANSPORTE ESCOLAR SEGURO VEHICULAR,ALCANCE ESTATAL,ALCANCE ESTATAL,,SEDESOQ,SEDESOQ,EDUCACION,1,SERVICIOS,,,,TERMINADO,100,2085794.33,ISN 2019,,0,0,08Q,2085794.33,100,,0,0,,0,0,,,,0,2085794.33,,,,
23,,2019-00022,HOMBRO CON HOMBRO TRANSPORTE ESCOLAR PERSONAL,ALCANCE ESTATAL,ALCANCE ESTATAL,,SEDESOQ,SEDESOQ,EDUCACION,1,SERVICIOS,,,,APROBADO,10,36906483,ISN 2019,,0,0,08Q,36906483,100,,0,0,,0,0,,,,0,23485744.06,,,,
24,,2019-00023,HOMBRO CON HOMBRO TRANSPORTE ESCOLAR MANTENIMIENTO VEHICULAR  Y HOLOGRAMAS,ALCANCE ESTATAL,ALCANCE ESTATAL,,SEDESOQ,SEDESOQ,EDUCACION,1,SERVICIOS,,,,APROBADO,47,2457523.03,GEQ PA 2019,,0,0,F19,2457523.03,100,,0,0,,0,0,,,,0,2457523.03,,,,
25,,2019-00023,HOMBRO CON HOMBRO TRANSPORTE ESCOLAR MANTENIMIENTO VEHICULAR  Y HOLOGRAMAS,ALCANCE ESTATAL,ALCANCE ESTATAL,,SEDESOQ,SEDESOQ,EDUCACION,1,SERVICIOS,,,,APROBADO,47,5370455.97,ISN 2019,,0,0,08Q,5370455.97,100,,0,0,,0,0,,,,0,1949728.26,,,,
26,,2019-00024,TRANSFERENCIA DE RECURSOS FAM B�?SICO 2019 AL EJECUTOR,ALCANCE ESTATAL,ALCANCE ESTATAL,,IIFEQ,IIFEQ,EDUCACION,1,TRANSFERENCIA,,,,APROBADO,,104932452,FAM BASICA 2019,99P,104932452,100,,0,0,,0,0,,0,0,,,,0,69954968,,,,
27,,2019-00025,TRANSFERENCIA DE RECURSOS FAM MEDIA SUPERIOR 2019 AL EJECUTOR,ALCANCE ESTATAL,ALCANCE ESTATAL,,IIFEQ,IIFEQ,EDUCACION,1,TRANSFERENCIA,,,,APROBADO,,7087476,FAM MEDIA SUP 2019,01Q,7087476,100,,0,0,,0,0,,0,0,,,,0,4724984,,,,
28,,2019-00026,TRANSFERENCIA DE RECURSOS FAM SUPERIOR 2019 AL EJECUTOR,ALCANCE ESTATAL,ALCANCE ESTATAL,,IIFEQ,IIFEQ,EDUCACION,1,TRANSFERENCIA,,,,APROBADO,,33115872,FAM SUP 2019,02Q,33115872,100,,0,0,,0,0,,0,0,,,,0,22077248,,,,
29,,2019-00027,"OBRA EXTERIOR PARA EL CENTRO DE MANTENIMIENTO DEL INSTITUTO QUERETANO DEL TRANSPORTE CORREGIDORA, QRO.",CORREGIDORA,EX-HACIENDA BALVANERA,,CEIQ,IQ TRANSPORTE,TRANSPORTE PUBLICO,16200,M2(PAVIMENTO ASFALTICO),CONSTRUCCIONES ACERO S.A. DE C.V.,14/03/2019,12/05/2019,TERMINADO,100,10866010.68,ISN 2019,,0,0,08Q,10866010.68,100,,0,0,,0,0,,,,10981441.82,10866010.68,,,,
30,,2019-00028,LA CULTURA EST�? EN NOSOTROS,ALCANCE ESTATAL,ALCANCE ESTATAL,,CULTURA,CULTURA,CULTURA,1,PROYECTOS,,,,APROBADO,100,7429136,ISN 2019,,0,0,08Q,7429136,100,,0,0,,0,0,,,,0,6858979,,,,
31,,2019-00029,"ORQUESTAS DE CUERDAS EN CORREGIDORA, CENTRO CARMELITA BALLESTEROS Y CORO COMUNITARIO DE TOLIM�?N",ALCANCE ESTATAL,ALCANCE ESTATAL,,CULTURA,CULTURA,CULTURA,3,ACCIONES,,,,APROBADO,67,863463.99,ISN 2019,,0,0,08Q,863463.99,100,,0,0,,0,0,,,,0,348087.49,,,,
32,,2019-00030,"INTRODUCCIÓN DE DRENAJE CALLE ALFONSO RAM�?REZ, COL. AMPLIACIÓN ADOLFO LÓPEZ MATEOS, TEQUISQUIAPAN, QRO.",TEQUISQUIAPAN,AMPLIACION ADOLFO LOPEZ MATEOS,,P.M. TEQUIS.,P.M. TEQUIS.,INFRAESTRUCTURA,235,METROS LINEALES,UGALDE VEL�?ZQUEZ ELIZABETH,25/03/2019,24/05/2019,TERMINADO,100,555826.01,FAFEF 2019,07Q,555826.01,100,,0,0,,0,0,,0,0,,,,555826.01,555826,,,,
33,,2019-00031,"CONSTRUCCIÓN DE DRENAJE SANITARIO EN VARIAS CALLES DE LA COMUNIDAD, SAN NICOL�?S, TEQUISQUIAPAN, QRO.",TEQUISQUIAPAN,SAN NICOLAS,,P.M. TEQUIS.,P.M. TEQUIS.,INFRAESTRUCTURA,940,METROS LINEALES,DAMARE CONSTRUCCIONES S. A. DE C. V.,08/04/2019,07/06/2019,TERMINADO,100,2442413.48,FAFEF 2019,07Q,2442413.48,100,,0,0,,0,0,,0,0,,,,2442413.48,2442413.46,,,,
34,,2019-00032,"EMPEDRADO AHOGADO CON MORTERO EN CALLE DE ACCESO A LA COMUNIDAD DE FUENTEZUELAS, MPIO. DE TEQUISQUIAPAN",TEQUISQUIAPAN,FUENTEZUELAS,,P.M. TEQUIS.,P.M. TEQUIS.,INFRAESTRUCTURA,3280,METROS CUADRADOS,MATERIALES Y MAQUINARIA FERNANDOS S.A. DE C.V.,08/04/2019,07/06/2019,TERMINADO,100,2657414.39,FAFEF 2019,07Q,2657414.39,100,,0,0,,0,0,,0,0,,,,2657414.39,2657414.39,,,,
35,,2019-00033,"URBANIZACIÓN DE CALLES PASEO DEL GIRASOL Y PASEO LAURELES, BARRIO DE SAN JUAN, TEQUISQUIAPAN, QRO.",TEQUISQUIAPAN,BARRIO SAN JUAN,,P.M. TEQUIS.,P.M. TEQUIS.,INFRAESTRUCTURA,3067.38,METROS CUADRADOS,ARGELIO MONTES OLVERA,15/07/2019,11/10/2019,APROBADO,58,878770.02,ISN 2018-2,,0,0,92P,878770.02,100,,0,0,,0,0,,,,2929233.41,878770.02,,,,
36,,2019-00033,"URBANIZACIÓN DE CALLES PASEO DEL GIRASOL Y PASEO LAURELES, BARRIO DE SAN JUAN, TEQUISQUIAPAN, QRO.",TEQUISQUIAPAN,BARRIO SAN JUAN,,P.M. TEQUIS.,P.M. TEQUIS.,INFRAESTRUCTURA,3067.38,METROS CUADRADOS,ARGELIO MONTES OLVERA,15/07/2019,11/10/2019,APROBADO,58,2050463.39,ISN EMPRESA,,0,0,21E,2050463.39,100,,0,0,,0,0,,,,2929233.41,0,,,,
37,,2019-00034,"EMPEDRADO AHOGADO CON MORTERO, GUARNICIONES Y BANQUETAS EN CALLE PEDRO CALIXTO, COL. AMPLIACIÓN ADOLFO LÓPEZ MATEOS, TEQUISQUIAPAN",TEQUISQUIAPAN,AMPLIACION ADOLFO LOPEZ MATEOS,,P.M. TEQUIS.,P.M. TEQUIS.,INFRAESTRUCTURA,1540,METROS CUADRADOS,CIA CONSTRUCTORA ING. JORGE PERUSQU�?A S.A. DE C.V.,08/04/2019,14/06/2019,TERMINADO,100,998209.52,FAFEF 2019,07Q,998209.52,100,,0,0,,0,0,,0,0,,,,998209.52,998209.51,,,,
38,,2019-00035,"EMPEDRADO Y BANQUETAS EN CALLE DEMETRIO CONTRERAS CON FRANCISCO VILLA Y LUCIO BLANCO, COL. AMPLIACIÓN ADOLFO LÓPEZ MATEOS, TEQUISQUIAPAN, QRO.",TEQUISQUIAPAN,AMPLIACION ADOLFO LOPEZ MATEOS,,P.M. TEQUIS.,P.M. TEQUIS.,INFRAESTRUCTURA,2941.2,METROS CUADRADOS,MATERIALES Y MAQUINARIA FERNANDOS S.A. DE C.V.,08/04/2019,07/06/2019,TERMINADO,100,2112740.03,FAFEF 2019,07Q,2112740.03,100,,0,0,,0,0,,0,0,,,,2112740.03,2112740.03,,,,
39,,2019-00036,"INTRODUCCIÓN DE DRENAJE CALLE J. REFUGIO TREJO, COL. AMPLIACIÓN ADOLFO LÓPEZ MATEOS, TEQUISQUIAPAN, QRO.",TEQUISQUIAPAN,AMPLIACION ADOLFO LOPEZ MATEOS,,P.M. TEQUIS.,P.M. TEQUIS.,INFRAESTRUCTURA,110,METROS LINEALES,HORACIO HERNANDEZ MUÑOZ,08/04/2019,07/06/2019,TERMINADO,100,257896.29,FAFEF 2019,07Q,257896.29,100,,0,0,,0,0,,0,0,,,,257896.29,257896.28,,,,
40,,2019-00037,"CONSTRUCCIÓN DE PARADEROS Y SEÑALAMIENTO OPERATIVO EN C.E. 420, MUNICIPIO DE EL MARQUÉS, QRO.",EL MARQUES,"ROSARIO, EL",,CEIQ,CEIQ,INFRAESTRUCTURA,78,METROS CUADRADOS,VEGA ZUÑIGA GUSTAVO,04/04/2019,03/05/2019,TERMINADO,100,4540522.51,ISN 2019,,0,0,08Q,4540522.51,100,,0,0,,0,0,,,,4547530.05,4540522.51,,,,
41,,2019-00039,BRIGADA BALÓN ADULTOS ,ALCANCE ESTATAL,ALCANCE ESTATAL,,INDEREQ,INDEREQ,DEPORTE,1,ACCIONES,,,,TERMINADO,100,7410068.4,ISN 2019,,0,0,08Q,7410068.4,100,,0,0,,0,0,,,,0,7410068.4,,,,
42,,2019-00040,HOMBRO CON HOMBRO PROYECTOS PRODUCTIVOS,ALCANCE ESTATAL,ALCANCE ESTATAL,,SEDESOQ,SEDESOQ,GRUPOS VULNERABLES,100,APOYOS,,,,APROBADO,96,7000000,ISN 2019,,0,0,08Q,7000000,100,,0,0,,0,0,,,,0,6042950,,,,
43,,2019-00041,JORNADAS COMUNITARIAS HOMBRO CON HOMBRO,ALCANCE ESTATAL,ALCANCE ESTATAL,,SEDESOQ,SEDESOQ,GRUPOS VULNERABLES,66,EVENTO,,,,APROBADO,70,19999998.48,ISN 2019,,0,0,08Q,19999998.48,100,,0,0,,0,0,,,,0,13999269.76,,,,
44,,2019-00042,HOMBRO CON HOMBRO POR TU PATRIMONIO,ALCANCE ESTATAL,ALCANCE ESTATAL,,SEDESOQ,SEDESOQ,GRUPOS VULNERABLES,1786,ACCIONES,,,,APROBADO,35,11999995.78,ISN 2019,,0,0,08Q,11999995.78,100,,0,0,,0,0,,,,0,4430757.1,,,,
45,,2019-00043,PROGRAMA HOMBRO CON HOMBRO POR TU ALIMENTACIÓN,ALCANCE ESTATAL,ALCANCE ESTATAL,,SEDESOQ,SEDESOQ,GRUPOS VULNERABLES,257207,DESPENSAS,,,,APROBADO,35,40999852.83,ISN 2019,,0,0,08Q,40999852.83,100,,0,0,,0,0,,,,0,8848318.36,,,,
46,,2019-00044,POR TU VIVIENDA (ENTREGA DE MATERIAL PARA TECHO FIRME),ALCANCE ESTATAL,ALCANCE ESTATAL,,SEDESOQ,SEDESOQ,VIVIENDA,314,UNIDADES,,,,APROBADO,18,8118909.6,ISN 2019,,0,0,08Q,8118909.6,100,,0,0,,0,0,,,,0,0,,,,
47,,2019-00045,POR TU VIVIENDA (ENTREGA DE MATERIAL PARA CUARTO ADULTO MAYOR),ALCANCE ESTATAL,ALCANCE ESTATAL,,SEDESOQ,SEDESOQ,VIVIENDA,172,UNIDADES,,,,APROBADO,22,15478312.69,ISN 2019,,0,0,08Q,15478312.69,100,,0,0,,0,0,,,,0,4813921.72,,,,
48,,2019-00046,POR TU VIVIENDA (ENTREGA DE MATERIAL PARA CUARTO ADICIONAL),ALCANCE ESTATAL,ALCANCE ESTATAL,,SEDESOQ,SEDESOQ,VIVIENDA,400,UNIDADES,,,,APROBADO,25,26398630.4,ISN 2019,,0,0,08Q,26398630.4,100,,0,0,,0,0,,,,0,5155077.12,,,,
49,,2019-00047,HERRAMIENTAS ESCOLARES DE APOYO A LA ECONOM�?A FAMILIAR (ÚTILES ESCOLARES) ,ALCANCE ESTATAL,ALCANCE ESTATAL,,USEBEQ,SEDESOQ,EDUCACION,370347,PERSONA,,,,TERMINADO,,127533564,GEQ PA 2019,,0,0,F19,127533564.1,100,,0,0,,0,0,,,,0,127533564.1,,,,
50,,2019-00048,HERRAMIENTAS ESCOLARES DE APOYO A LA ECONOM�?A FAMILIAR (BOLSA ECOLÓGICA),ALCANCE ESTATAL,ALCANCE ESTATAL,,USEBEQ,SEDESOQ,EDUCACION,80100,PERSONA,,,,TERMINADO,,1533114,GEQ PA 2019,,0,0,F19,1533114,100,,0,0,,0,0,,,,0,1533114,,,,
51,,2019-00049,HERRAMIENTAS ESCOLARES DE APOYO A LA ECONOM�?A FAMILIAR (VALES ESCOLARES DE APOYO A LA ECONOM�?A FAMILIAR),ALCANCE ESTATAL,ALCANCE ESTATAL,,USEBEQ,SEDESOQ,EDUCACION,37347,PERSONA,,,,APROBADO,,19187529.93,ISN 2019,,0,0,08Q,19187529.93,100,,0,0,,0,0,,,,0,13007400,,,,
52,,2019-00050,HERRAMIENTAS ESCOLARES DE APOYO A LA ECONOM�?A FAMILIAR (GASTOS DE OPERACIÓN),ALCANCE ESTATAL,ALCANCE ESTATAL,,USEBEQ,SEDESOQ,EDUCACION,370347,PERSONA,,,,APROBADO,36,3901987.49,GEQ PA 2019,,0,0,F19,3901987.49,100,,0,0,,0,0,,,,0,3901987.49,,,,
53,,2019-00050,HERRAMIENTAS ESCOLARES DE APOYO A LA ECONOM�?A FAMILIAR (GASTOS DE OPERACIÓN),ALCANCE ESTATAL,ALCANCE ESTATAL,,USEBEQ,SEDESOQ,EDUCACION,370347,PERSONA,,,,APROBADO,36,7871521.96,ISN 2019,,0,0,08Q,7871521.96,100,,0,0,,0,0,,,,0,7170407.53,,,,
54,,2019-00051,HERRAMIENTAS ESCOLARES DE APOYO A LA ECONOM�?A FAMILIAR(UNIFORMES DEPORTIVOS),ALCANCE ESTATAL,ALCANCE ESTATAL,,USEBEQ,SEDESOQ,EDUCACION,80100,PERSONA,,,,TERMINADO,,37872561.6,GEQ PA 2019,,0,0,F19,37872561.6,100,,0,0,,0,0,,,,0,37872561.6,,,,
55,,2019-00052,"SEMAFORIZACIÓN DEL EJE MENCHACA, QUERÉTARO, QRO.",QUERETARO,SANTIAGO DE QUERETARO,,SDUOP,SDUOP,TRANSPORTE PUBLICO,412,PIEZAS,SEMEX S.A. DE C.V.,18/04/2019,14/10/2019,APROBADO,28,51293436.74,ISN 2019,,0,0,08Q,51293436.74,100,,0,0,,0,0,,,,51293436.74,29243002.35,,,,
56,,2019-00055,"URBANIZACIÓN  DE CALLE ACCESO A ESC. PRIMARIA Y CALLE CONTINUACION  DEL TEATRO, MEDIANTE LA CONSTRUCCIÓN DE PAVIMENTO DE CONCRETO HIDR�?ULICO ( 1523.20 M2), BANQUETAS (333.20 M2), GUARNICIÓN (392 ML) Y LUMINARIAS LED DE 90 WATTS (5 PIEZAS),  EN LA LOCALIDAD SAN JUANICO, PEÑAMILLER, QUERÉTARO.",PEÑAMILLER,SAN JUANICO,,P.M. PEÑAMILLER,P.M. PEÑAMILLER,INFRAESTRUCTURA,1523.2,M2 (PAVIMENTO CONCRETO),JULIAN CAMPO FEREGRINO,08/04/2019,06/07/2019,TERMINADO,100,2631427.12,FAFEF 2019,07Q,2631427.12,100,,0,0,,0,0,,0,0,,,,2632689.86,2631427.12,,,,
57,,2019-00056,"URBANIZACIÓN  DE CALLE CORREGIDORA, CALLE ACCESO A LA T.V SECUNDARIA Y CALLE LATERAL DE LA T.V. SECUNDARIA, MEDIANTE LA CONSTRUCCIÓN DE PAVIMENTO DE CONCRETO HIDR�?ULICO ( 2176.50 M2), BANQUETAS (522.75 M2), GUARNICIÓN (615 M) Y LUMINARIAS LED DE 90 WATTS (8 PIEZAS),  EN LA LOCALIDAD VILLA EMILIANO ZAPATA (EXTORAZ), PEÑAMILLER, QUERÉTARO.",PEÑAMILLER,VILLA EMILIANO ZAPATA (EXTORAZ),,P.M. PEÑAMILLER,P.M. PEÑAMILLER,INFRAESTRUCTURA,2176.5,M2 (PAVIMENTO CONCRETO),TREJO AGUILAR DIANA ARIADNE,08/04/2019,06/07/2019,TERMINADO,100,2941738.4,FAFEF 2019,07Q,2941738.4,100,,0,0,,0,0,,0,0,,,,2943391.83,2941738.4,,,,
